date,time,lon,lat,P,H,T,RH,U,V
2018/08/26 , 23:13:40   ,121.44263000000001,24.99655,887,1127.18,21.01,94.8,2.09824367,-0.8046000440000001
2018/08/26 , 23:13:41   ,121.44263000000001,24.99654,886,1133.26,20.98,94.8,1.09191667,-0.41871028200000004
2018/08/26 , 23:13:43   ,121.44263000000001,24.99653,886,1139.25,20.94,94.8,0.16080483,-0.061662796900000004
2018/08/26 , 23:13:43   ,121.44264,24.99655,885,1144.93,20.92,94.9,2.48728761,-0.95378423
2018/08/26 , 23:13:44   ,121.44266,24.996570000000002,885,1149.94,20.86,94.9,3.55067439,-1.36155434
2018/08/26 , 23:13:46   ,121.4427,24.996589999999998,884,1155.78,20.83,95.0,4.56402855,1.62427994
2018/08/26 , 23:13:47   ,121.44278,24.996589999999998,884,1160.06,20.81,95.1,6.05042382,0.897765402
2018/08/26 , 23:13:47   ,121.44283,24.996589999999998,883,1163.49,20.78,95.2,5.7277735,0.006997798929999999
2018/08/26 , 23:13:49   ,121.44288999999999,24.996570000000002,883,1168.75,20.76,95.3,5.38591424,-0.9836425990000001
2018/08/26 , 23:13:49   ,121.44293,24.99654,882,1174.53,20.7,95.4,4.13233304,-2.26238625
2018/08/26 , 23:13:51   ,121.44296000000001,24.99651,881,1179.77,20.68,95.5,3.28059279,-2.88613161
2018/08/26 , 23:13:51   ,121.44299,24.996470000000002,881,1185.56,20.64,95.6,2.55610018,-4.23896826
2018/08/26 , 23:13:52   ,121.44303000000001,24.99644,880,1190.34,20.63,95.7,2.94006268,-3.58821983
2018/08/26 , 23:13:53   ,121.44306999999999,24.99642,880,1195.24,20.58,95.8,4.06534864,-2.78985995
2018/08/26 , 23:13:54   ,121.44311,24.99642,880,1199.83,20.55,95.9,4.86240829,-1.66287842
2018/08/26 , 23:13:55   ,121.44315,24.99644,879,1203.95,20.53,96.0,6.01302344,0.459510013
2018/08/26 , 23:13:55   ,121.44321000000001,24.99648,879,1207.45,20.5,96.1,5.93953532,4.52471339
2018/08/26 , 23:13:56   ,121.44325,24.99653,878,1210.6,20.49,96.2,4.79215235,6.33636121
2018/08/26 , 23:13:57   ,121.44328,24.996579999999998,878,1214.05,20.44,96.3,3.82909792,5.52167934
2018/08/26 , 23:13:58   ,121.44331000000001,24.99663,878,1218.43,20.42,96.4,2.71350463,5.08835308
2018/08/26 , 23:14:00   ,121.44333999999999,24.996660000000002,877,1224.67,20.38,96.6,1.3165268,2.98355541
2018/08/26 , 23:14:01   ,121.44337,24.99667,876,1228.51,20.36,96.7,0.7816176990000001,1.77132719
2018/08/26 , 23:14:02   ,121.44337,24.99669,876,1233.25,20.33,96.7,0.293807514,0.665836045
2018/08/26 , 23:14:04   ,121.44336000000001,24.99669,875,1239.79,20.27,96.8,1.01038385,2.28976441
2018/08/26 , 23:14:05   ,121.44335,24.996660000000002,874,1246.29,20.25,96.9,1.03729752,2.35075703
2018/08/26 , 23:14:05   ,121.44337,24.99662,874,1251.94,20.23,96.9,3.7456441,-1.85039926
2018/08/26 , 23:14:07   ,121.44341000000001,24.996589999999998,873,1257.64,20.2,97.0,2.67284758,-1.67732427
2018/08/26 , 23:14:07   ,121.44343,24.996570000000002,873,1263.87,20.18,97.0,3.50942077,-2.34757883
